"Address","Indexability","Indexability Status","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1"
"https://www.lupo.com.br/t-shirt-micromodal-unissex-sem-costura-75044-900/p","Indexable","","","","","","https://www.lupo.com.br/t-shirt-micromodal-unissex-sem-costura-75044-900/p","","index, follow",""
"https://www.lupo.com.br/masculino/cuecas/samba-cancao","Indexable","","","","","","https://www.lupo.com.br/masculino/cuecas/samba-cancao","","index, follow",""
"https://www.lupo.com.br/boxer-algodo-com-elastano-00784-068/p","Indexable","","","","","","https://www.lupo.com.br/boxer-algodo-com-elastano-00784-068/p","","index, follow",""
"https://www.lupo.com.br/masculino/meias","Indexable","","https://www.lupo.com.br/masculino/meias?page=2","","","","https://www.lupo.com.br/masculino/meias","","index, follow",""
"https://www.lupo.com.br/boxer-algodo-com-elastano-00784-069/p","Indexable","","","","","","https://www.lupo.com.br/boxer-algodo-com-elastano-00784-069/p","","index, follow",""
"https://www.lupo.com.br/masculino/pijamas","Indexable","","","","","","https://www.lupo.com.br/masculino/pijamas","","index, follow",""
"https://www.lupo.com.br/boxer-bambu-sem-costura-18471-002/p","Indexable","","","","","","https://www.lupo.com.br/boxer-bambu-sem-costura-18471-002/p","","index, follow",""
"https://www.lupo.com.br/cueca-lupo-am-boxer-microf-00671-002/p","Indexable","","","","","","https://www.lupo.com.br/cueca-lupo-am-boxer-microf-00671-002/p","","index, follow",""
"https://www.lupo.com.br/produtos/roupas","Indexable","","https://www.lupo.com.br/produtos/roupas?page=2","","","","https://www.lupo.com.br/produtos/roupas","","index, follow",""
"https://www.lupo.com.br/cueca-lupo-am-boxer-00784-016/p","Indexable","","","","","","https://www.lupo.com.br/cueca-lupo-am-boxer-00784-016/p","","index, follow",""
"https://www.lupo.com.br/cueca-lupo-boxer-microf-00436-002/p","Indexable","","","","","","https://www.lupo.com.br/cueca-lupo-boxer-microf-00436-002/p","","index, follow",""
"https://www.lupo.com.br/pijama-lupo-am-curto-modal-28662-900-outlet/p","Indexable","","","","","","https://www.lupo.com.br/pijama-lupo-am-curto-modal-28662-900-outlet/p","","index, follow",""
"https://www.lupo.com.br/masculino/meias/urban","Indexable","","","","","","https://www.lupo.com.br/masculino/meias/urban","","index, follow",""
"https://www.lupo.com.br/blusa-decote-quadrado-sem-costura-45297-001-outlet/p","Indexable","","","","","","https://www.lupo.com.br/blusa-decote-quadrado-sem-costura-45297-001-outlet/p","","index, follow",""
"https://www.lupo.com.br/blusa-regata-ribana-feminina-lupo-45296-001-outlet/p","Indexable","","","","","","https://www.lupo.com.br/blusa-regata-ribana-feminina-lupo-45296-001-outlet/p","","index, follow",""
"https://www.lupo.com.br/meia-calca-disney-bf-lobinha-02527-009-outlet-outlet/p","Indexable","","","","","","https://www.lupo.com.br/meia-calca-disney-bf-lobinha-02527-009-outlet-outlet/p","","index, follow",""
"https://www.lupo.com.br/meia-disney-bu-star-wars-02083-001-outlet-outlet/p","Indexable","","","","","","https://www.lupo.com.br/meia-disney-bu-star-wars-02083-001-outlet-outlet/p","","index, follow",""
"https://www.lupo.com.br/meia-lupo-kf-02680-302-outlet/p","Indexable","","","","","","https://www.lupo.com.br/meia-lupo-kf-02680-302-outlet/p","","index, follow",""
"https://www.lupo.com.br/suti-rib-sem-costura-41380-001-outlet/p","Indexable","","","","","","https://www.lupo.com.br/suti-rib-sem-costura-41380-001-outlet/p","","index, follow",""
"https://www.lupo.com.br/meia-marvel-km-vingadores-02451-012-outlet/p","Indexable","","","","","","https://www.lupo.com.br/meia-marvel-km-vingadores-02451-012-outlet/p","","index, follow",""
"https://www.lupo.com.br/boxer-micromodal-com-elastano-18474-001/p","Indexable","","","","","","https://www.lupo.com.br/boxer-micromodal-com-elastano-18474-001/p","","index, follow",""
"https://www.lupo.com.br/boxer-lupo-kids-sem-costura-00137-030/p","Indexable","","","","","","https://www.lupo.com.br/boxer-lupo-kids-sem-costura-00137-030/p","","index, follow",""
"https://www.lupo.com.br/sunga-lupo-kids-algodo-com-elastano-00380-001/p","Indexable","","","","","","https://www.lupo.com.br/sunga-lupo-kids-algodo-com-elastano-00380-001/p","","index, follow",""
"https://www.lupo.com.br/meninos/cuecas/slip","Indexable","","","","","","https://www.lupo.com.br/meninos/cuecas/slip","","index, follow",""
"https://www.lupo.com.br/cueca-lupo-km-boxer-00141-003/p","Indexable","","","","","","https://www.lupo.com.br/cueca-lupo-km-boxer-00141-003/p","","index, follow",""
"https://www.lupo.com.br/cueca-disney-slip-kit-com-3-unidades-00111-089/p","Indexable","","","","","","https://www.lupo.com.br/cueca-disney-slip-kit-com-3-unidades-00111-089/p","","index, follow",""
"https://www.lupo.com.br/produtos/Adulto/Feminino?PS=12&map=c,specificationFilter_27,specificationFilter_30","Non-Indexable","Canonicalised","https://www.lupo.com.br/produtos?map=c%2CspecificationFilter_27%2CspecificationFilter_30&page=2","","","","https://www.lupo.com.br/produtos?map=c%2CspecificationFilter_27%2CspecificationFilter_30","","index, follow",""
"https://www.lupo.com.br/meninos/cuecas/boxer","Indexable","","","","","","https://www.lupo.com.br/meninos/cuecas/boxer","","index, follow",""
"https://www.lupo.com.br/slip-lupo-kids-algodo-00361-002/p","Indexable","","","","","","https://www.lupo.com.br/slip-lupo-kids-algodo-00361-002/p","","index, follow",""
"https://www.lupo.com.br/pijama-lupo-km-curto-robots-20620-001/p","Indexable","","","","","","https://www.lupo.com.br/pijama-lupo-km-curto-robots-20620-001/p","","index, follow",""
"https://www.lupo.com.br/pijama-lupo-km-manga-longa-20632-001/p","Indexable","","","","","","https://www.lupo.com.br/pijama-lupo-km-manga-longa-20632-001/p","","index, follow",""
"https://www.lupo.com.br/produtos/meias/soquetes","Indexable","","https://www.lupo.com.br/produtos/meias/soquetes?page=2","","","","https://www.lupo.com.br/produtos/meias/soquetes","","index, follow",""
"https://www.lupo.com.br/pijama-curto-km-dino-20614-001-outlet/p","Indexable","","","","","","https://www.lupo.com.br/pijama-curto-km-dino-20614-001-outlet/p","","index, follow",""
